Date,Product,Region,Sales,Quantity
2025-01-05,Widget A,North,1500.00,30
2025-01-12,Widget B,South,2300.50,45
2025-01-20,Widget C,East,980.00,20
2025-02-03,Widget A,West,1750.25,35
2025-02-14,Widget D,North,3200.00,60
2025-02-28,Widget B,South,1100.00,22
2025-03-05,Widget C,East,2450.75,50
2025-03-15,Widget A,North,1980.00,40
2025-03-22,Widget E,West,4500.00,90
2025-04-01,Widget D,South,2100.50,42
2025-04-10,Widget B,East,1350.00,27
2025-04-18,Widget A,North,2800.00,55
2025-05-02,Widget C,West,1620.30,33
2025-05-15,Widget E,South,3750.00,75
2025-05-25,Widget D,East,2900.00,58
2025-06-01,Widget A,North,1450.00,29
2025-06-12,Widget B,West,2050.75,41
2025-06-20,Widget C,South,1880.00,38
2025-07-04,Widget E,East,5200.00,100
2025-07-15,Widget D,North,2650.25,53
2025-07-28,Widget A,South,1920.00,39
2025-08-05,Widget B,West,1780.50,36
2025-08-18,Widget C,East,2100.00,42
2025-08-25,Widget E,North,4800.00,95
2025-09-01,Widget D,South,3100.00,62
2025-09-14,Widget A,West,1550.75,31
2025-09-22,Widget B,North,2250.00,45
2025-10-03,Widget C,East,1970.00,40
2025-10-16,Widget E,South,4100.50,82
2025-10-28,Widget D,West,2780.00,56
